"PM 2.5, x; PM 10, x","PM 2.5, y","PM 10, y"
2017-12-07 08:31:36,5.2,7.2
2017-12-07 09:01:37,4.4,6.2
2017-12-07 09:31:36,4.3,5.4
2017-12-07 10:01:36,4.3,5.2
2017-12-07 10:31:36,5.2,8.0
2017-12-07 11:01:37,5.0,6.8
2017-12-07 11:31:37,5.5,7.1
2017-12-07 12:01:37,4.7,5.8
2017-12-07 12:31:36,4.9,5.9
2017-12-07 13:01:36,5.0,6.1
2017-12-07 13:31:37,5.2,5.9
2017-12-07 14:01:37,7.6,8.4
2017-12-07 14:31:37,5.5,6.1
2017-12-07 15:01:37,5.9,6.4
2017-12-07 15:31:37,6.0,6.7
2017-12-07 16:01:36,5.8,6.4
2017-12-07 16:31:36,6.3,7.0
2017-12-07 17:01:36,6.7,7.3
2017-12-07 17:31:36,7.5,8.4
2017-12-07 18:01:36,7.8,8.5
2017-12-07 18:31:37,15.1,16.7
2017-12-07 19:01:36,17.2,19.0
2017-12-07 19:31:37,16.5,18.4
2017-12-07 20:01:37,17.5,20.0
2017-12-07 20:31:37,16.3,18.9
2017-12-07 21:01:37,16.2,18.0
2017-12-07 21:31:36,16.0,17.8
2017-12-07 22:01:36,14.9,16.7
2017-12-07 22:31:37,13.3,14.9
2017-12-07 23:01:36,12.1,13.5
2017-12-07 23:31:37,11.8,13.0
2017-12-08 00:01:37,11.9,13.1
2017-12-08 00:31:37,11.5,12.8
2017-12-08 01:01:36,11.6,12.8
2017-12-08 01:31:36,10.9,12.0
2017-12-08 02:01:36,10.1,11.1
2017-12-08 02:31:36,10.1,11.3
2017-12-08 03:01:37,9.1,10.1
2017-12-08 03:31:37,8.6,9.3
2017-12-08 04:01:37,8.6,9.5
2017-12-08 04:31:36,8.1,8.9
2017-12-08 05:01:36,7.1,7.7
2017-12-08 05:31:36,7.1,7.8
2017-12-08 06:01:36,6.8,7.4
2017-12-08 06:31:37,6.5,7.2
2017-12-08 07:01:37,7.1,9.5
2017-12-08 07:31:36,7.0,10.8
2017-12-08 08:01:36,7.0,8.9
2017-12-08 08:31:36,7.5,10.0
2017-12-08 09:01:36,6.1,7.5
